Title,BodyPart,Equipment,Level
Holman Feet-Elevated Straight Plank Pike Pull,abdominals,body only,intermediate
Holman Towel Burpee,abdominals,body only,intermediate
Holman Elbow Plank to Alternating Side Plank Crunch,abdominals,body only,intermediate
Holman Straight-Legged Hip Raise,abdominals,body only,intermediate
Holman Feet-Elevated Hill Climber,abdominals,body only,intermediate
Holman Ninja Knee Hill Climber,abdominals,body only,intermediate
Holman Feet-Elevated Shoulder Tap,abdominals,body only,intermediate
Holman Feet-Elevated Hip Raise,abdominals,body only,intermediate
Holman Left Hand Right Foot Crab Reach,abdominals,body only,intermediate
Holman Alternating Crab Flip to Froggy Push-Up to Kicks,abdominals,body only,intermediate
Holman Right Hand Left Foot Sleeping Crab,abdominals,body only,intermediate
Holman Left Hand Right Foot Sleeping Crab,abdominals,body only,intermediate
Holman Straight Plank with Alternating Leg Kick-Under,abdominals,body only,intermediate
Holman Right Hip Drop Push-Up,abdominals,body only,intermediate
Holman Right Side Diagonal Burpee,abdominals,body only,intermediate
Holman Left Hip Drop Push-Up,abdominals,body only,intermediate
Holman Right Leg 7-Up Crunch,abdominals,body only,intermediate
Holman Left Leg 7-Up Crunch,abdominals,body only,intermediate
Holman Straight Plank Jack,abdominals,body only,intermediate
Holman Feet-Elevated Couch Hill Climber,abdominals,body only,intermediate
Holman Feet-Elevated Right Side Plank,abdominals,body only,intermediate
Holman Alternating Up-Down Plank to Push-Up,abdominals,body only,intermediate
Holman Straight Plank Pike,abdominals,body only,intermediate
Holman Ninja Knee Straight Plank,abdominals,body only,intermediate
Holman Reverse Crunch to Hip Raise,abdominals,body only,intermediate
Holman Straight Plank Quick Reach,abdominals,body only,intermediate
Holman Alternating Diagonal Straight Plank,abdominals,body only,intermediate
Holman Feet-Elevated Left Side Plank,abdominals,body only,intermediate
Holman Right Hand Left Foot Crab Reach,abdominals,body only,intermediate
Holman Low-Impact Crab Kick,abdominals,body only,intermediate
Holman Alternating Crab Flip to Froggy Push-Up,abdominals,body only,intermediate
Holman High-Impact Crab Kick,abdominals,body only,intermediate
Holman Single-Leg Right Pike,abdominals,body only,intermediate
Holman Single-Leg Left Pike,abdominals,body only,intermediate
Holman Shoulder Tap to Hand Tap,abdominals,body only,intermediate
Holman Towel Reverse Plank Jack,abdominals,body only,intermediate
Holman Side-to-Side Twist,abdominals,body only,intermediate
Holman Crab Kick with Hop,abdominals,body only,intermediate
Holman Crab Reach to Crab Kick,abdominals,body only,intermediate
Holman Wide Squat Side-to-Side Obliques,abdominals,body only,intermediate
Holman Side Plank Crunch,abdominals,body only,intermediate
Total Fitness Ab Tuck,abdominals,body only,intermediate
Active hang from bar,abdominals,body only,intermediate
Cat-cow,abdominals,body only,intermediate
Crab walk,abdominals,body only,intermediate
Lunge with overhead reach,abdominals,body only,intermediate
Hang from bar,abdominals,body only,intermediate
Total Fitness Hollow Hold,abdominals,body only,intermediate
Total Fitness Side Plank,abdominals,body only,intermediate
Side plank pulse,abdominals,body only,intermediate
Total Fitness Spider Crawl (Unweighted),abdominals,body only,intermediate
Total Fitness V-Up,abdominals,body only,intermediate
MetaBurn Alternating Knee-to-Elbow Mountain Climber,abdominals,body only,intermediate
Alternating sit-through with crunch-,abdominals,body only,intermediate
MetaBurn Alternating Toe-Touch,abdominals,body only,intermediate
MetaBurn Janda Sit-Up,abdominals,body only,intermediate
MetaBurn Oblique Roll Crunch,abdominals,body only,intermediate
MetaBurn Plank Jack,abdominals,body only,intermediate
MetaBurn Plank To Alternating Side Plank,abdominals,body only,intermediate
MetaBurn Plank Up-Down,abdominals,body only,intermediate
MetaBurn Plank Wiper,abdominals,body only,intermediate
MetaBurn Plank With Alternating Toe-Touch,abdominals,body only,intermediate
MetaBurn Plyo Push-Up,abdominals,body only,intermediate
MetaBurn Psycho Crunch,abdominals,body only,intermediate
MetaBurn Scapular Retraction Plank,abdominals,body only,intermediate
MetaBurn Scapular Retraction Plank Hold,abdominals,body only,intermediate
MetaBurn Scorpion,abdominals,body only,intermediate
MetaBurn Side Crawler,abdominals,body only,intermediate
MetaBurn Side Plank Oblique Crunch,abdominals,body only,intermediate
MetaBurn Sit-Through,abdominals,body only,intermediate
MetaBurn Sit-Up To V-Up,abdominals,body only,intermediate
MetaBurn Sit-Up With Rotation,abdominals,body only,intermediate
MetaBurn Split-Leg Crunch,abdominals,body only,intermediate
MetaBurn Tabletop Hip Thrust,abdominals,body only,intermediate
MetaBurn Tabletop With Russian Kick,abdominals,body only,intermediate
MetaBurn Toe Driver Abs,abdominals,body only,intermediate
MetaBurn-V-Up,abdominals,body only,intermediate
X-body V-up,abdominals,body only,intermediate
MetaBurn Swivel Crunch,abdominals,body only,intermediate
Robertson Core-Engaged Dead Bug,abdominals,body only,intermediate
FYR2 Double-Under,abdominals,body only,intermediate
FYR2 Fire Feet with Burpee Tuck Jump Drill,abdominals,body only,intermediate
FYR2 Flutter Kick,abdominals,body only,intermediate
FYR2 Half-Moon,abdominals,body only,intermediate
FYR2 Leopard Crawl,abdominals,body only,intermediate
FYR2 Plank Alternating Front Step,abdominals,body only,intermediate
FYR2 Shoulder Tap,abdominals,body only,intermediate
Hand shift plank,abdominals,body only,intermediate
Cross-body plank march,abdominals,body only,intermediate
Bent-knee Copenhagen hip adduction,abdominals,body only,intermediate
Copenhagen plank,abdominals,body only,intermediate
ACFT Hanging leg tuck,abdominals,body only,intermediate
Alternating hanging knee raise,abdominals,body only,intermediate
Plank To Sphinx,abdominals,body only,intermediate
Twisting Mountain Climbers,abdominals,body only,intermediate
Jack Knives,abdominals,body only,intermediate
Hanging Leg Raises,abdominals,body only,intermediate
Dumbbell suitcase crunch,abdominals,medicine ball,intermediate
Medicine ball rotational throw,abdominals,medicine ball,intermediate
Hollow-hold ball toss,abdominals,medicine ball,intermediate
Partner front Russian twist and pass,abdominals,medicine ball,beginner
Sit-up with single-arm overhand throw,abdominals,medicine ball,intermediate
Medicine ball partner twist,abdominals,medicine ball,intermediate
Partner side Russian twist and pass,abdominals,medicine ball,beginner
Medicine ball half moon,abdominals,medicine ball,intermediate
Exercise ball roll-out,abdominals,medicine ball,intermediate
Medicine ball pass,abdominals,medicine ball,intermediate
Partner medicine ball sit-up,abdominals,medicine ball,intermediate
Medicine ball Russian twist,abdominals,medicine ball,intermediate
30 Medicine Ball Slam,abdominals,medicine ball,intermediate
Medicine ball twist,abdominals,medicine ball,intermediate
FYR2 Medicine Ball Complex,abdominals,medicine ball,intermediate
FYR2 Medicine Ball Fire-Feet Drill,abdominals,medicine ball,intermediate
FYR2 Medicine Ball Knees-to-Chest,abdominals,medicine ball,intermediate
FYR2 Medicine Ball Mountain Climber,abdominals,medicine ball,intermediate
Decline oblique crunch,abdominals,unknown,intermediate
Decline sit-up,abdominals,unknown,intermediate
Hanging Windshield Wiper,abdominals,unknown,intermediate
Exercise Ball Pull-In,abdominals,exercise ball,intermediate
Exercise ball crunch,abdominals,exercise ball,intermediate
Feet-elevated crunch,abdominals,exercise ball,intermediate
Weighted Ball Side Bend,abdominals,exercise ball,beginner
Swiss Ball Ab Roll-Out,abdominals,exercise ball,intermediate
Exercise Ball Cable Crunch - Gethin Variation,abdominals,cable,intermediate
Exercise ball squat and twist,abdominals,exercise ball,intermediate
Swiss Ball V-Up With Foot Pass,abdominals,exercise ball,intermediate
Exercise ball pike,abdominals,exercise ball,intermediate
Exercise ball bird dog,abdominals,exercise ball,intermediate
Exercise ball superman,abdominals,exercise ball,intermediate
BOSU cross-body crunch,abdominals,exercise ball,intermediate
Exercise Ball Knee Tuck - Gethin Varation,abdominals,exercise ball,intermediate
Alternating Exercise Ball Knee Tucks - Gethin Variation,abdominals,exercise ball,intermediate
AM Ball Crunch,abdominals,exercise ball,intermediate
30 Bosu Cable Reverse Crunch,abdominals,exercise ball,intermediate
BOSU knee tuck,abdominals,exercise ball,intermediate
30 Side Plank On Ball,abdominals,exercise ball,intermediate
Hanging exercise ball leg raise,abdominals,exercise ball,intermediate
Taylor Exercise Ball Stir-The-Pot,abdominals,exercise ball,intermediate
FYR2 Air Ball,abdominals,exercise ball,intermediate
Feet-elevated plank on ball,abdominals,exercise ball,intermediate
Band Hip Adductions,adductors,bands,beginner
Lateral Band Walk,abductors,bands,intermediate
FYR2 Standing Banded Leg Abduction,abductors,bands,intermediate
Iliotibial band SMR,abductors,foam roll,intermediate
Adductor SMR,adductors,foam roll,beginner
Lying Bent Leg Groin,adductors,other,beginner
Lateral box jump,adductors,other,intermediate
Thigh adductor,adductors,machine,intermediate
Thigh abductor,abductors,machine,intermediate
Standing Hip Circles,abductors,body only,beginner
Groiners,adductors,body only,beginner
Fire Hydrant,abductors,body only,beginner
Windmills,abductors,body only,intermediate
Side Leg Raises,adductors,body only,beginner
Lateral hop,adductors,body only,intermediate
Monster Walk,abductors,body only,intermediate
Side Lying Groin Stretch,adductors,body only,intermediate
IT Band and Glute Stretch,abductors,body only,intermediate
Single-leg lying cross-over stretch,abductors,body only,beginner
Carioca quick step,adductors,body only,intermediate
Standing hip circle,abductors,body only,intermediate
Lateral cone hop,adductors,body only,intermediate
Side-To-Side Adductor Stretch,adductors,body only,intermediate
Dynamic pigeon stretch,abductors,body only,intermediate
Cross-over jack,abductors,body only,intermediate
Traveling thigh killa,abductors,body only,intermediate
FYR Thigh Killa,abductors,body only,intermediate
HM Straddle Stretch,abductors,body only,intermediate
HM Right Leg Swing,abductors,body only,intermediate
HM Right Side-Kick,abductors,body only,intermediate
HM Frog Stretch,abductors,body only,intermediate
HM Kick-Out,abductors,body only,intermediate
HM Left Leg Swing,adductors,body only,intermediate
UNS Foam Roll Adductor,adductors,body only,intermediate
MetaBurn Groiner,abductors,body only,intermediate
Side-lying leg adduction scissor,adductors,body only,intermediate
Groin and Back Stretch,adductors,unknown,beginner
Adductor/Groin,adductors,unknown,beginner
Incline dumbbell biceps curl,biceps,bands,intermediate
Banded biceps curl in squat position,biceps,bands,intermediate
Banded Hammer Press - Gethin Variation,biceps,bands,intermediate
Band standing concentration curl,biceps,bands,intermediate
Brachialis SMR,biceps,foam roll,beginner
Wide-grip barbell curl,biceps,barbell,beginner
EZ-bar spider curl,biceps,barbell,intermediate
Barbell Curl,biceps,barbell,intermediate
Close-grip EZ-bar curl,biceps,barbell,beginner
Preacher Curl,biceps,barbell,intermediate
Barbell Curls Lying Against An Incline,biceps,barbell,beginner
Seated Close-Grip Concentration Barbell Curl,biceps,barbell,beginner
Close-grip barbell curl,biceps,barbell,beginner
Drag curl,biceps,barbell,beginner
Reverse-grip barbell curl,biceps,barbell,intermediate
Lying High Bench Barbell Curl,biceps,barbell,beginner
Seated wide-grip curl to close-grip curl,biceps,barbell,beginner
Seated Straigh-Bar Curl Superset,biceps,barbell,beginner
Dave Draper Forehead Curl,biceps,barbell,intermediate
Reverse-grip EZ-bar curl,biceps,barbell,intermediate
EZ-Bar Spider Curl - Gethin Variation,biceps,barbell,intermediate
Barbell curl-,biceps,barbell,intermediate
Paul Carter Barbell Curl,biceps,barbell,intermediate
Standing band biceps curl,biceps,barbell,intermediate
Close-Grip EZ-Bar Curl - Gethin Variation,biceps,barbell,intermediate
Seated Barbell Curl,biceps,barbell,intermediate
AM Standing Barbell Curl,biceps,barbell,intermediate
EZ-bar preacher curl,biceps,barbell,intermediate
30 Arms Standing Barbell Curl,biceps,barbell,intermediate
30 Arms Incline Biceps Curl,biceps,barbell,intermediate
"Bicep Curls ""21s""",biceps,barbell,intermediate
Incline Hammer Curls,biceps,dumbbell,beginner
Hammer Curls,biceps,dumbbell,intermediate
Biceps curl to shoulder press,biceps,dumbbell,beginner
Concentration curl,biceps,dumbbell,intermediate
Flexor Incline Dumbbell Curls,biceps,dumbbell,beginner
Dumbbell Bicep Curl,biceps,dumbbell,intermediate
Cross-body hammer curl,biceps,dumbbell,beginner
Dumbbell Alternate Bicep Curl,biceps,dumbbell,intermediate
Single-arm dumbbell preacher curl,biceps,dumbbell,intermediate
Alternate Incline Dumbbell Curl,biceps,dumbbell,intermediate
Standing concentration curl,biceps,dumbbell,beginner
Alternating incline dumbbell biceps curl,biceps,dumbbell,intermediate
Alternate Hammer Curl,biceps,dumbbell,intermediate
Seated dumbbell biceps curl,biceps,dumbbell,intermediate
Preacher Hammer Dumbbell Curl,biceps,dumbbell,beginner
Dumbbell preacher curl,biceps,dumbbell,intermediate
Lying Supine Dumbbell Curl,biceps,dumbbell,beginner
Standing Dumbbell Reverse Curl,biceps,dumbbell,beginner
Palms-out incline biceps curl,biceps,dumbbell,beginner
Straight-arm plank with biceps curl,biceps,dumbbell,beginner
Face-down incline dumbbell biceps curl,biceps,dumbbell,beginner
Seated Dumbbell Inner Biceps Curl,biceps,dumbbell,beginner
Standing Inner-Biceps Curl,biceps,dumbbell,beginner
Seated hammer curl,biceps,dumbbell,intermediate
Paul Carter Incline Dumbbell Biceps Curl,biceps,dumbbell,intermediate
Paul Carter Concentration Curl,biceps,dumbbell,intermediate
FYR Dumbbell Curl,biceps,dumbbell,intermediate
Dumbbell biceps curl to upright row,biceps,dumbbell,intermediate
FYR Dumbbell Hammer Curl,biceps,dumbbell,intermediate
Dumbbell overhead hold with single-arm curl,biceps,dumbbell,intermediate
FYR Kneeling Biceps,biceps,dumbbell,intermediate
Lunge hold dumbbell curl,biceps,dumbbell,intermediate
FYR Dumbbell Biceps Curl,biceps,dumbbell,intermediate
Alternating dumbbell snatch,biceps,dumbbell,intermediate
TBS Incline Dumbbell Curl,biceps,dumbbell,intermediate
TBS Hammer Curl,biceps,dumbbell,intermediate
Reverse-grip dumbbell curl,biceps,dumbbell,intermediate
Incline Dumbbell Curl - Gethin Variation,biceps,dumbbell,intermediate
Hammer curl,biceps,dumbbell,intermediate
Seated Dumbbell Curl - Gethin Variation,biceps,dumbbell,intermediate
Dumbbell Hammer Curl - Gethin Variation,biceps,dumbbell,intermediate
Single-arm seated dumbbell curl,biceps,dumbbell,intermediate
Lying Cable Curl - Gethin Variation,biceps,dumbbell,intermediate
Dumbbell biceps curl,biceps,dumbbell,intermediate
Seated Biceps Hammer Curl,biceps,dumbbell,intermediate
HM Alternating Reverse Lunge With Biceps Curl,biceps,dumbbell,intermediate
AM Hammer Curls,biceps,dumbbell,intermediate
AM Seated Hammer Curls,biceps,dumbbell,intermediate
Seated alternating biceps curl,biceps,dumbbell,intermediate
Alternating hammer curl,biceps,dumbbell,intermediate
Alternating biceps curl,biceps,dumbbell,intermediate
Holman Slow Biceps Curl,biceps,dumbbell,intermediate
Holman Biceps Curl to Chest Punch,biceps,dumbbell,intermediate
Holman Right Arm Heavy Biceps Curl,biceps,dumbbell,intermediate
Holman Left Arm Heavy Biceps Curl,biceps,dumbbell,intermediate
Holman Alternating Front Lunge Biceps Curl,biceps,dumbbell,intermediate
Holman Weighted Double-Time Biceps Curl,biceps,dumbbell,intermediate
Holman Heavy Right Arm Biceps Curl,biceps,dumbbell,intermediate
Holman Heavy Left Arm Biceps Curl,biceps,dumbbell,intermediate
MetaBurn Dumbbell Drag Curl,biceps,dumbbell,intermediate
MetaBurn Hammer Curl to Overhead Press,biceps,dumbbell,intermediate
MetaBurn Biceps Curl To Lateral Raise,biceps,dumbbell,intermediate
FYR2 Alternating Dumbbell Curl,biceps,dumbbell,intermediate
FYR2 Pulse Biceps Curl,biceps,dumbbell,intermediate
FYR2 Seesaw Dumbbell Biceps Curl,biceps,dumbbell,intermediate
FYR2 Single-Dumbbell Biceps Curl,biceps,dumbbell,intermediate
FYR2 Dumbbell Curl-Row Complex,biceps,dumbbell,intermediate
30 Arms Standing Dumbbell Hammer Curl 21s,biceps,dumbbell,intermediate
30 Arms Standing Biceps Curl,biceps,dumbbell,intermediate
30 Arms Standing Alternating Hammer Curl,biceps,dumbbell,intermediate
30 Arms Standing Alternating Biceps Curl,biceps,dumbbell,intermediate
30 Arms Single-Arm Hammer Preacher Curl,biceps,dumbbell,intermediate
30 Arms Single-Arm Dumbbell Preacher Curl,biceps,dumbbell,intermediate
30 Arms Seated Dumbbell Concentration Curl,biceps,dumbbell,intermediate
30 Arms Seated Biceps Curl,biceps,dumbbell,intermediate
30 Arms Seated Alternating Biceps Curl,biceps,dumbbell,intermediate
30 Arms Incline Hammer Curl,biceps,dumbbell,intermediate
30 Arms Incline Dumbbell Triceps Extension,biceps,dumbbell,intermediate
30 Arms Hammer Curl,biceps,dumbbell,intermediate
Reverse Plate Curls,biceps,other,beginner
Standing Biceps Stretch,biceps,other,beginner
Suspended Curl,biceps,other,beginner
Plate hammer curl,biceps,other,beginner
Barbell spider curl,biceps,other,intermediate
Barbell forehead curl,biceps,other,intermediate
Overhead cable curl,biceps,cable,intermediate
Standing One-Arm Cable Curl,biceps,cable,beginner
Reverse Cable Curl,biceps,cable,beginner
Standing Biceps Cable Curl,biceps,cable,intermediate
Cable rope hammer curl,biceps,cable,intermediate
Lying cable biceps curl,biceps,cable,beginner
Cable rope preacher hammer curl,biceps,cable,beginner
Lying Close-Grip Bar Curl On High Pulley,biceps,cable,beginner
Cable EZ-Bar Preacher Curl - Gethin Variation,biceps,cable,intermediate
Squatting cable EZ-bar biceps curl,biceps,cable,intermediate
Cable straight-bar biceps curl,biceps,cable,intermediate
Standing reverse-grip cable curl,biceps,cable,intermediate
Lying high-cable biceps curl,biceps,cable,intermediate
High-Pulley Cable Curl - Gethin Variation,biceps,cable,intermediate
Standing High Cable Curl - Gethin Variation,biceps,cable,intermediate
High Cable Curls,biceps,cable,intermediate
Seated cable biceps curl,biceps,cable,intermediate
Lying Close-Grip Bar Curl On High Pulley - Gethin Variation,biceps,cable,intermediate
Standing Cable Curl - Gethin Variation,biceps,cable,intermediate
Double Arm Cable Biceps Curl,biceps,cable,intermediate
AM Cable Biceps Curl,biceps,cable,intermediate
Single-arm cable biceps curl,biceps,cable,intermediate
UP Cable Curl With Straight Bar,biceps,cable,intermediate
30 Arms Cable Rope Hammer Curl,biceps,cable,intermediate
30 Arms Squatting Cable Straight-Bar Curl,biceps,cable,intermediate
30 Arms High Cable Curl,biceps,cable,intermediate
30 Arms Cable Straight-Bar Curl,biceps,cable,intermediate
30 Arms Cable Concentration Curl,biceps,cable,intermediate
30 Arms BFR High Cable Curl,biceps,cable,intermediate
BFR cable rope hammer curl,biceps,cable,intermediate
Machine Bicep Curl,biceps,machine,beginner
Machine Preacher Curls,biceps,machine,beginner
Single-arm machine preacher curl,biceps,machine,intermediate
Machine preacher curl,biceps,machine,intermediate
Smith machine drag curl,biceps,machine,intermediate
30 Arms BFR Machine Preacher Curl,biceps,machine,intermediate
Seated Biceps,biceps,body only,beginner
TBS Chin-Up,biceps,body only,intermediate
Pull-up - Gethin Variation,biceps,body only,intermediate
UN Pull-Up Supinated,biceps,body only,intermediate
UN Pull-Up Pronated,biceps,body only,intermediate
UN Pull-Up Neutral,biceps,body only,intermediate
EZ-Bar Curl,biceps,e-z curl bar,intermediate
Reverse Barbell Preacher Curls,biceps,e-z curl bar,beginner
Close-Grip EZ-Bar Curl with Band,biceps,e-z curl bar,beginner
Standing EZ-Bar Curl - Gethin Variation,biceps,e-z curl bar,intermediate
TBS EZ-Bar Curl,biceps,e-z curl bar,intermediate
Standing EZ-bar curl,biceps,e-z curl bar,intermediate
30 Arms Standing Overhand EZ-Bar Curl,biceps,e-z curl bar,intermediate
30 Arms EZ-Bar Spider Curl,biceps,e-z curl bar,intermediate
30 Arms EZ-Bar Preacher Curl,biceps,e-z curl bar,intermediate
30 Arms Standing EZ-Bar Curl,biceps,e-z curl bar,intermediate
Calf Raises - With Bands,calves,bands,beginner
Peroneals Stretch,calves,bands,intermediate
Posterior Tibialis Stretch,calves,bands,intermediate
Calf SMR,calves,foam roll,beginner
Rocking Standing Calf Raise,calves,barbell,beginner
Standing barbell calf raise,calves,barbell,beginner
Barbell Seated Calf Raise,calves,barbell,beginner
Smith machine standing calf raise,calves,barbell,intermediate
Calf Raise On A Dumbbell,calves,dumbbell,beginner
Standing Dumbbell Calf Raise,calves,dumbbell,intermediate
Single-leg standing dumbbell calf raise,calves,dumbbell,intermediate
Dumbbell walking calf raise,calves,dumbbell,intermediate
Balance Board,calves,other,beginner
Weighted donkey calf raise,calves,other,intermediate
Anterior Tibialis-SMR,calves,other,beginner
Foot-SMR,calves,other,beginner
Agility Ladder,calves,other,intermediate
Single-leg machine seated calf raise,calves,other,intermediate
Smith Machine Calf Raise,calves,machine,intermediate
Standing Calf Raises,calves,machine,beginner
Seated Calf Raise,calves,machine,intermediate
Calf Press On The Leg Press Machine,calves,machine,intermediate
Calf Press,calves,machine,beginner
Smith Machine Reverse Calf Raises,calves,machine,beginner
Seated Single-Leg Calf Press - Gethin Variation,calves,machine,intermediate
Seated Calf Raise - Gethin Variation,calves,machine,intermediate
Donkey Calf Raise - Gethin Variation,calves,machine,intermediate
Standing Calf Raise Facing Hack Squat Machine - Gethin Variation,calves,machine,intermediate
Calf Press On A Hack Squat Machine - Gethin Variation,calves,machine,intermediate
Smith Machine Standing Calf Raises - Gethin Variation,calves,machine,intermediate
Hack squat calf raise,calves,machine,intermediate
Seated Calf Press - Gethin Variation,calves,machine,intermediate
Leg press calf raise,calves,machine,intermediate
Machine seated calf raise,calves,machine,intermediate
30 Legs Seated Calf Raise,calves,machine,intermediate
30 Legs Standing Calf Raise,calves,machine,intermediate
Peroneals-SMR,calves,body only,intermediate
Knee Circles,calves,body only,beginner
Standing Gastrocnemius Calf Stretch,calves,body only,intermediate
Wall calf stretch,calves,body only,intermediate
Seated Calf Stretch,calves,body only,intermediate
Standing Calf Raise,calves,body only,intermediate
Standing calf raise-,calves,body only,intermediate
HM Left Calf-Spike Sumo Pulse,calves,body only,intermediate
Ankle Circles,calves,unknown,beginner
Calf Stretch Elbows Against Wall,calves,unknown,beginner
Standing Soleus And Achilles Stretch,calves,unknown,beginner
Cross Over - With Bands,chest,bands,beginner
Bench Press - With Bands,chest,bands,beginner
Bench Press With Short Bands,chest,bands,beginner
Feet-Elevated TRX Push-Up,chest,bands,beginner
Band-suspended kettlebell bench press,chest,bands,intermediate
HM Banded Cross-Over Pull,chest,bands,intermediate
Rusin Band Pull-Apart,chest,bands,intermediate
UNS Banded Push-Up,chest,bands,intermediate
Taylor Band-Assisted One-Arm Push-Up,chest,bands,intermediate
Incline band bench press,chest,bands,intermediate
Band push-up,chest,bands,intermediate
Band chest fly,chest,bands,intermediate
Close-grip bench press,chest,barbell,intermediate
Barbell Bench Press - Medium Grip,chest,barbell,intermediate
Decline barbell bench press,chest,barbell,intermediate
Wide-grip bench press,chest,barbell,beginner
Wide-Grip Decline Barbell Bench Press,chest,barbell,beginner
Barbell Incline Bench Press Medium-Grip,chest,barbell,intermediate
Neck Press,chest,barbell,beginner
Front Raise And Pullover,chest,barbell,beginner
Board bench press,chest,barbell,intermediate
Barbell Bench Press-Wide Grip,chest,barbell,beginner
Wide-Grip Decline Barbell Pullover,chest,barbell,beginner
Barbell Guillotine Bench Press,chest,barbell,beginner
Band-suspended kettlebell bench press,chest,bands,intermediate
Paul Carter Incline Bench Press,chest,barbell,intermediate
Incline bench press,chest,barbell,intermediate
Bench press,chest,barbell,intermediate
TBS Close-Grip Bench Press,chest,barbell,intermediate
AM Flat Bench Barbell Press,chest,barbell,intermediate
UP Bench Press,chest,barbell,intermediate
UP Close-Grip Bench Press,chest,barbell,intermediate
King Maker Barbell Bench Press,chest,barbell,intermediate
King Maker Incline Barbell Bench Press,chest,barbell,intermediate
30 Chest Incline Barbell Bench Press,chest,barbell,intermediate
30 Chest Barbell Bench Press,chest,barbell,intermediate
30 Chest 30-Degree Incline Dumbbell Press,chest,barbell,intermediate
Spoto press,chest,barbell,intermediate
Kettlebell plyo push-up,chest,kettlebells,intermediate
Extended Range One-Arm Kettlebell Floor Press,chest,kettlebells,beginner
Kettlebell alternating floor press,chest,kettlebells,beginner
One-Arm Kettlebell Floor Press,chest,kettlebells,beginner
Leg-Over Floor Press,chest,kettlebells,beginner
Band-suspended kettlebell bench press,chest,bands,intermediate
FYR2 Push-Up to Kettlebell Hike Combo,chest,kettlebells,intermediate
Pushups,chest,body only,intermediate
Incline Push-Up,chest,body only,intermediate
Hands-elevated push-up,chest,body only,beginner
Decline Push-Up,chest,body only,intermediate
Single-Arm Push-Up,chest,body only,beginner
Close push-up to wide push-up,chest,body only,intermediate
Wide-grip hands-elevated push-up,chest,body only,beginner
Push-Ups With Feet On An Exercise Ball,chest,body only,intermediate
Feet-elevated push-up,chest,body only,intermediate
Isometric Wipers,chest,body only,beginner
Clock push-up,chest,body only,beginner
Incline Push-Up Depth Jump,chest,body only,intermediate
Push-Up Wide,chest,body only,beginner
Sphinx push-up,chest,body only,intermediate
Close-Hands Push-Up,chest,body only,beginner
Tiger-bend push-up,chest,body only,beginner
Plyo push-up,chest,body only,beginner
Close-grip hands-elevated push-up,chest,body only,intermediate
Suspended push-up,chest,body only,intermediate
Push Up to Side Plank,chest,body only,intermediate
Isometric Chest Squeezes,chest,body only,beginner
Side-to-side push-up,chest,body only,beginner
Typewriter push-up,chest,body only,beginner
Diamond push-up,chest,body only,intermediate
Judo push-up,chest,body only,beginner
Superman Push-Up,chest,body only,beginner
Wide push-up,chest,body only,beginner
One-Arm Push-Up,chest,body only,beginner
Clapping Push-Up,chest,body only,beginner
Staggered push-up,chest,body only,beginner
Reverse-grip hands-elevated push-up,chest,body only,beginner
Triple Clap Push-Up,chest,body only,beginner
Side kick-through push-up,chest,body only,intermediate
Swimming,chest,body only,intermediate
FYR Push-Up,chest,body only,intermediate
Frog push-up,chest,body only,intermediate
Wide push-up plank hold,chest,body only,intermediate
Close push-up,chest,body only,intermediate
Push-Up - Gethin Variation,chest,body only,intermediate
HM Incline Push-Up On Chair,chest,body only,intermediate
HM Push-Up,chest,body only,intermediate
HM Push-Plank,chest,body only,intermediate
AM Chest Dips,chest,body only,intermediate
Push-up,chest,body only,intermediate
UP Push-up,chest,body only,intermediate
UN Push-Up,chest,body only,intermediate
UNS Foam Roll Pecs,chest,body only,intermediate
UN Hands Elevated Push-Up,chest,body only,intermediate
Holman Seal Drag to Push-Up,chest,body only,intermediate
Holman Hand-Elevated Push-Up with Hand Row,chest,body only,intermediate
Holman Push-Up,chest,body only,intermediate
Holman Slow Hips-Up Chest Press,chest,body only,intermediate
Holman Jump-Out Push-Up with Hand Hop Back,chest,body only,intermediate
Holman Froggy Push-Up to Donkey Kick,chest,body only,intermediate
Holman Push-Up to Sit Back,chest,body only,intermediate
Holman Sit Back Push-Up,chest,body only,intermediate
Holman Alternating Staggered Push-Up,chest,body only,intermediate
Holman Foot-Up Diving Push-Up,chest,body only,intermediate
Holman Narrow Push-Up,chest,body only,intermediate
Holman Dynamo Push-Up,chest,body only,intermediate
Holman Jump to Push-Up,chest,body only,intermediate
Holman Foot-Elevated Push-Up,chest,body only,intermediate
Holman Feet-Elevated Push-Up,chest,body only,intermediate
Total Fitness Plyo Push-Up,chest,body only,intermediate
Scapular push-up,chest,body only,intermediate
King Maker Push-up,chest,body only,intermediate
Warrior push-up,chest,body only,intermediate
Taylor Roll-Over Push-Up,chest,body only,intermediate
Taylor One-Arm Push-Up Slow Negative,chest,body only,intermediate
30 Chest Push-Up To Isometric Hold,chest,body only,intermediate
30 Chest Push-Up,chest,body only,intermediate
30 Chest Bench Push-Up,chest,body only,intermediate
MetaBurn 3-Phase Push-Up,chest,body only,intermediate
MetaBurn Fast Feet To Push-Up,chest,body only,intermediate
MetaBurn Judo Push-Up To Pike Push-Up,chest,body only,intermediate
MetaBurn Pike Push-Up,chest,body only,intermediate
MetaBurn Push-Up To Frogger,chest,body only,intermediate
MetaBurn Push-Up With Hand Side-Step,chest,body only,intermediate
MetaBurn Push-Up With Hand-Up Rotation,chest,body only,intermediate
MetaBurn Sphinx Push-Up,chest,body only,intermediate
